ResultType,ShortMessage,LongMessage
50129,DeviceIsNotWorkplaceJoined ,DeviceIsNotWorkplaceJoined - Workplace join is required to register the device.
50131,ConditionalAccessFailed ,"ConditionalAccessFailed - Indicates various Conditional Access errors such as bad Windows device state, request blocked due to suspicious activity, access policy, or security policy decisions."
50132,SsoArtifactInvalidOrExpired ,SsoArtifactInvalidOrExpired - The session isn't valid due to password expiration or recent password change.
50133,SsoArtifactRevoked ,SsoArtifactRevoked - The session isn't valid due to password expiration or recent password change.
50134,DeviceFlowAuthorizeWrongDatacenter ,"DeviceFlowAuthorizeWrongDatacenter - Wrong data center. To authorize a request that was initiated by an app in the OAuth 2.0 device flow, the authorizing party must be in the same data center where the original request resides."
50135,PasswordChangeCompromisedPassword ,PasswordChangeCompromisedPassword - Password change is required due to account risk.
50136,RedirectMsaSessionToApp ,RedirectMsaSessionToApp - Single MSA session detected.
50139,SessionMissingMsaOAuth2RefreshToken ,SessionMissingMsaOAuth2RefreshToken - The session is invalid due to a missing external refresh token.
50140,KmsiInterrupt ,"KmsiInterrupt - This error occurred due to ""Keep me signed in"" interrupt when the user was signing-in. This is an expected part of the login flow, where a user is asked if they want to remain signed into their current browser to make further logins easier. For more information, see The new Azure AD sign-in and ?Keep me signed in? experiences rolling out now!. You can open a support ticket with Correlation ID, Request ID, and Error code to get more details."
50143,Session mismatch ,"Session mismatch - Session is invalid because user tenant doesn't match the domain hint due to different resource. Open a support ticket with Correlation ID, Request ID, and Error code to get more details."
50144,InvalidPasswordExpiredOnPremPassword ,InvalidPasswordExpiredOnPremPassword - User's Active Directory password has expired. Generate a new password for the user or have the user use the self-service reset tool to reset their password.
50146,MissingCustomSigningKey ,"MissingCustomSigningKey - This app is required to be configured with an app-specific signing key. It is either not configured with one, or the key has expired or isn't yet valid. Please contact the owner of the application."
50147,MissingCodeChallenge ,MissingCodeChallenge - The size of the code challenge parameter isn't valid.
50155,DeviceAuthenticationFailed ,DeviceAuthenticationFailed - Device authentication failed for this user.
50158,ExternalSecurityChallenge ,ExternalSecurityChallenge - External security challenge was not satisfied.
50161,InvalidExternalSecurityChallengeConfiguration ,InvalidExternalSecurityChallengeConfiguration - Claims sent by external provider isn't enough or Missing claim requested to external provider.
50166,ExternalClaimsProviderThrottled ,ExternalClaimsProviderThrottled - Failed to send the request to the claims provider.
50168,ChromeBrowserSsoInterruptRequired ,"ChromeBrowserSsoInterruptRequired - The client is capable of obtaining an SSO token through the Windows 10 Accounts extension, but the token was not found in the request or the supplied token was expired."
50169,InvalidRequestBadRealm ,InvalidRequestBadRealm - The realm isn't a configured realm of the current service namespace.
50170,MissingExternalClaimsProviderMapping ,MissingExternalClaimsProviderMapping - The external controls mapping is missing.
50173,FreshTokenNeeded ,"FreshTokenNeeded - The provided grant has expired due to it being revoked, and a fresh auth token is needed. Either an admin or a user revoked the tokens for this user, causing subsequent token refreshes to fail and require reauthentication. Have the user sign in again."
50177,ExternalChallengeNotSupportedForPassthroughUsers ,ExternalChallengeNotSupportedForPassthroughUsers - External challenge isn't supported for passthrough users.
50178,SessionControlNotSupportedForPassthroughUsers ,SessionControlNotSupportedForPassthroughUsers - Session control isn't supported for passthrough users.
50180,WindowsIntegratedAuthMissing ,WindowsIntegratedAuthMissing - Integrated Windows authentication is needed. Enable the tenant for Seamless SSO.
50187,DeviceInformationNotProvided ,DeviceInformationNotProvided - The service failed to perform device authentication.
50194,ApplicationNotMultiTenant,Application '{appId}'({appName}) isn't configured as a multi-tenant application. Usage of the /common endpoint isn't supported for such applications created after '{time}'. Use a tenant-specific endpoint or configure the application to be multi-tenant.
50196,LoopDetected ,"LoopDetected - A client loop has been detected. Check the app?s logic to ensure that token caching is implemented, and that error conditions are handled correctly. The app has made too many of the same request in too short a period, indicating that it is in a faulty state or is abusively requesting tokens."
50197,ConflictingIdentities ,ConflictingIdentities - The user could not be found. Try signing in again.
50199,CmsiInterrupt ,"CmsiInterrupt - For security reasons, user confirmation is required for this request. Because this is an ""interaction_required"" error, the client should do interactive auth. This occurs because a system webview has been used to request a token for a native application - the user must be prompted to ask if this was actually the app they meant to sign into. To avoid this prompt, the redirect URI should be part of the following safe list: http://, https://, chrome-extension:// (desktop Chrome browser only)"
51000,RequiredFeatureNotEnabled ,RequiredFeatureNotEnabled - The feature is disabled.
51001,DomainHintMustbePresent ,DomainHintMustbePresent - Domain hint must be present with on-premises security identifier or on-premises UPN.
51004,UserAccountNotInDirectory ,"UserAccountNotInDirectory - The user account doesn?t exist in the directory. An application likely chose the wrong tenant to sign into, and the currently logged in user was prevented from doing so since they did not exist in your tenant. If this user should be able to log in, add them as a guest. For further information, please visit add B2B users."
51005,TemporaryRedirect ,"TemporaryRedirect - Equivalent to HTTP status 307, which indicates that the requested information is located at the URI specified in the location header. When you receive this status, follow the location header associated with the response. When the original request method was POST, the redirected request will also use the POST method."
51006,ForceReauthDueToInsufficientAuth ,ForceReauthDueToInsufficientAuth - Integrated Windows authentication is needed. User logged in using a session token that is missing the integrated Windows authentication claim. Request the user to log in again.
52004,DelegationDoesNotExistForLinkedIn ,DelegationDoesNotExistForLinkedIn - The user has not provided consent for access to LinkedIn resources.
53000,DeviceNotCompliant ,"DeviceNotCompliant - Conditional Access policy requires a compliant device, and the device isn't compliant. The user must enroll their device with an approved MDM provider like Intune. For additional information, please visit Conditional Access device remediation."
53001,DeviceNotDomainJoined ,"DeviceNotDomainJoined - Conditional Access policy requires a domain joined device, and the device isn't domain joined. Have the user use a domain joined device."
53002,ApplicationUsedIsNotAnApprovedApp ,ApplicationUsedIsNotAnApprovedApp - The app used isn't an approved app for Conditional Access. User needs to use one of the apps from the list of approved apps to use in order to get access.
53003,BlockedByConditionalAccess ,"BlockedByConditionalAccess - Access has been blocked by Conditional Access policies. The access policy does not allow token issuance. If this is unexpected, see the conditional access policy that applied to this request in the Azure Portal or contact your administrator. For additional information, please visit troubleshooting sign-in with Conditional Access."
53004,ProofUpBlockedDueToRisk ,ProofUpBlockedDueToRisk - User needs to complete the multi-factor authentication registration process before accessing this content. User should register for multi-factor authentication.
53010,ProofUpBlockedDueToSecurityInfoAcr ,ProofUpBlockedDueToSecurityInfoAcr - Cannot configure multi-factor authentication methods because the organization requires this information to be set from specific locations or devices.
53011,User blocked due to risk on home tenant.,User blocked due to risk on home tenant.
54000,MinorUserBlockedLegalAgeGroupRule,MinorUserBlockedLegalAgeGroupRule
54005,OAuth2AuhorizationCodeAlreadyRedeemed,"OAuth2 Authorization code was already redeemed, please retry with a new valid code or use an existing refresh token."
65001,DelegationDoesNotExist ,DelegationDoesNotExist - The user or administrator has not consented to use the application with ID X. Send an interactive authorization request for this user and resource.
65002,ConsentMustBeConfiguredBeforePreauthentication,Consent between first party application '{applicationId}' and first party resource '{resourceId}' must be configured via preauthorization - applications owned and operated by Microsoft must get approval from the API owner before requesting tokens for that API. A developer in your tenant may be attempting to reuse an App ID owned by Microsoft. This error prevents them from impersonating a Microsoft application to call other APIs. They must move to another app ID they register in https://portal.azure.com.
65004,UserDeclinedConsent ,UserDeclinedConsent - User declined to consent to access the app. Have the user retry the sign-in and consent to the app
65005,MisconfiguredApplication65005,"MisconfiguredApplication - The app required resource access list does not contain apps discoverable by the resource or The client app has requested access to resource, which was not specified in its required resource access list or Graph service returned bad request or resource not found. If the app supports SAML, you may have configured the app with the wrong Identifier (Entity). To learn more, see the troubleshooting article for error 650056."
67003,ActorNotValidServiceIdentity,ActorNotValidServiceIdentity
70000,InvalidGrant ,"InvalidGrant - Authentication failed. The refresh token isn't valid. Error may be due to the following reasons: Token binding header is empty, Token binding hash does not match"
70001,UnauthorizedClient ,"UnauthorizedClient - The application is disabled. To learn more, see the troubleshooting article for error 70001."
70002,InvalidClient ,"InvalidClient - Error validating the credentials. The specified client_secret does not match the expected value for this client. Correct the client_secret and try again. For more info, see Use the authorization code to request an access token."
70003,UnsupportedGrantType ,UnsupportedGrantType - The app returned an unsupported grant type.
70004,InvalidRedirectUri ,InvalidRedirectUri - The app returned an invalid redirect URI. The redirect address specified by the client does not match any configured addresses or any addresses on the OIDC approve list.
70005,UnsupportedResponseType ,"UnsupportedResponseType - The app returned an unsupported response type due to the following reasons: response type 'token' isn't enabled for the app, response type 'id_token' requires the 'OpenID' scope -contains an unsupported OAuth parameter value in the encoded wctx"
70007,UnsupportedResponseMode ,UnsupportedResponseMode - The app returned an unsupported value of response_mode when requesting a token.
70008,ExpiredOrRevokedGrant ,ExpiredOrRevokedGrant - The refresh token has expired due to inactivity. The token was issued on XXX and was inactive for a certain amount of time.
70011,InvalidScope ,InvalidScope - The scope requested by the app is invalid.
70012,MsaServerError ,"MsaServerError - A server error occurred while authenticating an MSA (consumer) user. Try again. If it continues to fail, open a support ticket "
70016,AuthorizationPending ,AuthorizationPending - OAuth 2.0 device flow error. Authorization is pending. The device will retry polling the request.
70018,BadVerificationCode ,BadVerificationCode - Invalid verification code due to User typing in wrong user code for device code flow. Authorization isn't approved.
70019,CodeExpired ,CodeExpired - Verification code expired. Have the user retry the sign-in.
70043,RefreshTokenExpiredOrInvalid,The refresh token has expired or is invalid due to sign-in frequency checks by conditional access. The token was issued on {issueDate} and the maximum allowed lifetime for this request is {time}.
75001,BindingSerializationError ,BindingSerializationError - An error occurred during SAML message binding.
75003,UnsupportedBindingError ,UnsupportedBindingError - The app returned an error related to unsupported binding (SAML protocol response can't be sent via bindings other than HTTP POST).
75005,Saml2MessageInvalid ,"Saml2MessageInvalid - Azure AD doesn?t support the SAML request sent by the app for SSO. To learn more, see the troubleshooting article for error 75005."
75008,RequestDeniedError ,RequestDeniedError - The request from the app was denied since the SAML request had an unexpected destination.
75011,NoMatchedAuthnContextInOutputClaims ,"NoMatchedAuthnContextInOutputClaims - The authentication method by which the user authenticated with the service doesn't match requested authentication method. To learn more, see the troubleshooting article for error 75011."
75016,Saml2AuthenticationRequestInvalidNameIDPolicy ,Saml2AuthenticationRequestInvalidNameIDPolicy - SAML2 Authentication Request has invalid NameIdPolicy.
76026,RequestIssueTimeExpired ,RequestIssueTimeExpired - IssueTime in an SAML2 Authentication Request is expired.
80001,OnPremiseStoreIsNotAvailable ,OnPremiseStoreIsNotAvailable - The Authentication Agent is unable to connect to Active Directory. Make sure that agent servers are members of the same AD forest as the users whose passwords need to be validated and they are able to connect to Active Directory.
80002,OnPremisePasswordValidatorRequestTimedout ,OnPremisePasswordValidatorRequestTimedout - Password validation request timed out. Make sure that Active Directory is available and responding to requests from the agents.
80005,OnPremisePasswordValidatorUnpredictableWebException ,"OnPremisePasswordValidatorUnpredictableWebException - An unknown error occurred while processing the response from the Authentication Agent. Retry the request. If it continues to fail, open a support ticket to get more details on the error."
80007,OnPremisePasswordValidatorErrorOccurredOnPrem ,OnPremisePasswordValidatorErrorOccurredOnPrem - The Authentication Agent is unable to validate user's password. Check the agent logs for more info and verify that Active Directory is operating as expected.
80010,OnPremisePasswordValidationEncryptionException ,OnPremisePasswordValidationEncryptionException - The Authentication Agent is unable to decrypt password.
80012,OnPremisePasswordValidationAccountLogonInvalidHours ,OnPremisePasswordValidationAccountLogonInvalidHours - The users attempted to log on outside of the allowed hours (this is specified in AD).
80013,OnPremisePasswordValidationTimeSkew ,OnPremisePasswordValidationTimeSkew - The authentication attempt could not be completed due to time skew between the machine running the authentication agent and AD. Fix time sync issues.
80014,OnPremisePasswordValidationAuthenticationAgentTimeout ,"OnPremisePasswordValidationAuthenticationAgentTimeout - Validation request responded after maximum elapsed time exceeded. Open a support ticket with the error code, correlation ID, and timestamp to get more details on this error."
81004,DesktopSsoIdentityInTicketIsNotAuthenticated ,DesktopSsoIdentityInTicketIsNotAuthenticated - Kerberos authentication attempt failed.
81005,DesktopSsoAuthenticationPackageNotSupported ,DesktopSsoAuthenticationPackageNotSupported - The authentication package isn't supported.
81006,DesktopSsoNoAuthorizationHeader ,DesktopSsoNoAuthorizationHeader - No authorization header was found.
81007,DesktopSsoTenantIsNotOptIn ,DesktopSsoTenantIsNotOptIn - The tenant isn't enabled for Seamless SSO.
81009,DesktopSsoAuthorizationHeaderValueWithBadFormat ,DesktopSsoAuthorizationHeaderValueWithBadFormat - Unable to validate user's Kerberos ticket.
81010,DesktopSsoAuthTokenInvalid ,DesktopSsoAuthTokenInvalid - Seamless SSO failed because the user's Kerberos ticket has expired or is invalid.
81011,DesktopSsoLookupUserBySidFailed ,DesktopSsoLookupUserBySidFailed - Unable to find user object based on information in the user's Kerberos ticket.
81012,DesktopSsoMismatchBetweenTokenUpnAndChosenUpn ,DesktopSsoMismatchBetweenTokenUpnAndChosenUpn - The user trying to sign in to Azure AD is different from the user signed into the device.
90002,InvalidTenantName ,"InvalidTenantName - The tenant name wasn't found in the data store. Check to make sure you have the correct tenant ID. The application developer will receive this error if their app attempts to sign into a tenant that we cannot find. Often, this is because a cross-cloud app was used against the wrong cloud, or the developer attempted to sign in to a tenant derived from an email address, but the domain isn't registered."
90004,InvalidRequestFormat ,InvalidRequestFormat - The request isn't properly formatted.
90005,InvalidRequestWithMultipleRequirements ,InvalidRequestWithMultipleRequirements - Unable to complete the request. The request isn't valid because the identifier and login hint can't be used together.
90006,ExternalServerRetryableError ,ExternalServerRetryableError - The service is temporarily unavailable.
90007,InvalidSessionId ,InvalidSessionId - Bad request. The passed session ID can't be parsed.
90008,TokenForItselfRequiresGraphPermission ,"TokenForItselfRequiresGraphPermission - The user or administrator hasn't consented to use the application. At the minimum, the application requires access to Azure AD by specifying the sign-in and read user profile permission."
90009,TokenForItselfMissingIdenticalAppIdentifier ,TokenForItselfMissingIdenticalAppIdentifier - The application is requesting a token for itself. This scenario is supported only if the resource that's specified is using the GUID-based application ID.
90010,NotSupported ,NotSupported - Unable to create the algorithm.
90012,RequestTimeout ,RequestTimeout - The requested has timed out.
90013,InvalidUserInput ,InvalidUserInput - The input from the user isn't valid.
90014,MissingRequiredField ,MissingRequiredField - This error code may appear in various cases when an expected field isn't present in the credential.
90015,QueryStringTooLong ,QueryStringTooLong - The query string is too long.
90016,MissingRequiredClaim ,MissingRequiredClaim - The access token isn't valid. The required claim is missing.
90019,MissingTenantRealm ,MissingTenantRealm - Azure AD was unable to determine the tenant identifier from the request.
90020,SAML11AssertionMissingImmutableID,The SAML 1.1 Assertion is missing ImmutableID of the user. Developer error - the app is attempting to sign in without the necessary or correct authentication parameters.
90022,AuthenticatedInvalidPrincipalNameFormat ,"AuthenticatedInvalidPrincipalNameFormat - The principal name format isn't valid, or doesn't meet the expected name[/host][@realm] format. The principal name is required, host and realm are optional and may be set to null."
90023,InvalidRequest ,InvalidRequest - The authentication service request isn't valid.
90024,RequestBudgetExceededError ,RequestBudgetExceededError - A transient error has occurred. Try again.
90025,RequestProcessingExceededGatewayAllowance,Request processing has exceeded gateway allowance
90027,UnableToIssueTokensFromThisAPIVersion,We are unable to issue tokens from this API version on the MSA tenant. Please contact the application vendor as they need to use version 2.0 of the protocol to support this.
90033,MsodsServiceUnavailable ,MsodsServiceUnavailable - The Microsoft Online Directory Service (MSODS) isn't available.
90036,MsodsServiceUnretryableFailure ,"MsodsServiceUnretryableFailure - An unexpected, non-retryable error from the WCF service hosted by MSODS has occurred. Open a support ticket to get more details on the error."
90038,NationalCloudTenantRedirection ,NationalCloudTenantRedirection - The specified tenant 'Y' belongs to the National Cloud 'X'. Current cloud instance 'Z' does not federate with X. A cloud redirect error is returned.
90043,NationalCloudAuthCodeRedirection ,NationalCloudAuthCodeRedirection - The feature is disabled.
90051,InvalidNationalCloudId ,InvalidNationalCloudId - The national cloud identifier contains an invalid cloud identifier.
90055,TenantThrottlingError ,TenantThrottlingError - There are too many incoming requests. This exception is thrown for blocked tenants.
90056,BadResourceRequest ,"BadResourceRequest - To redeem the code for an access token, the app should send a POST request to the /token endpoint. Also, prior to this, you should provide an authorization code and send it in the POST request to the /token endpoint. Refer to this article for an overview of OAuth 2.0 authorization code flow. Direct the user to the /authorize endpoint, which will return an authorization_code. By posting a request to the /token endpoint, the user gets the access token. Log in the Azure portal, and check App registrations > Endpoints to confirm that the two endpoints were configured correctly."
90072,PassThroughUserMfaError ,"PassThroughUserMfaError - The external account that the user signs in with doesn't exist on the tenant that they signed into; so the user can't satisfy the MFA requirements for the tenant. This error also might occur if the users are synced, but there is a mismatch in the ImmutableID (sourceAnchor) attribute between Active Directory and Azure AD. The account must be added as an external user in the tenant first. Sign out and sign in with a different Azure AD user account. For more information, please visit configuring external identities."
90081,OrgIdWsFederationMessageInvalid ,OrgIdWsFederationMessageInvalid - An error occurred when the service tried to process a WS-Federation message. The message isn't valid.
90082,OrgIdWsFederationNotSupported ,OrgIdWsFederationNotSupported - The selected authentication policy for the request isn't currently supported.
90084,OrgIdWsFederationGuestNotAllowed ,OrgIdWsFederationGuestNotAllowed - Guest accounts aren't allowed for this site.
